ACC	DEFINITION
	
SM00101	14-3-3 homologues
SM00474	3'-5' exonuclease
SM00294	putative band 4.1 homologues' binding motif
SM00475	5'-3' exonuclease
SM01350	6-phosphogluconate dehydrogenase, C-terminal domain
SM01381	Serpentine type 7TM GPCR chemoreceptor Srsx
SM00506	Appr-1"-p processing enzyme
SM01360	Alpha-2-macroglobulin family
SM01359	Alpha-2-Macroglobulin
SM01361	A-macroglobulin receptor
SM00006	amyloid A4
SM00382	ATPases associated with a variety of cellular activities
SM00763	PrkA AAA domain
SM00499	Plant lipid transfer protein / seed storage protein / trypsin-alpha amylase inhibitor domain family
SM00642	Alpha-amylase domain
SM00632	
SM00783	Alpha amylase inhibitor
SM00785	AARP2CN (NUC121) domain
SM00014	Acid phosphatase homologues
SM00608	ADAM Cysteine-Rich Domain
SM01363	Corticotropin ACTH domain
SM00268	Actin
SM00995	Anticodon-binding domain
SM00789	Adenylate cyclase G-alpha binding domain
SM00552	tRNA-specific and double-stranded RNA adenosine deaminase (RNA-specific editase)
SM00788	Adenylosuccinate synthetase
SM00102	Actin depolymerisation factor/cofilin -like domains
SM00996	S-adenosyl-L-homocysteine hydrolase
SM00997	S-adenosyl-L-homocysteine hydrolase, NAD binding domain
SM00998	Adenylosuccinate lyase C-terminus
SM00999	Aerolysin toxin
SM00790	Aldehyde ferredoxin oxidoreductase, N-terminal domain
SM00743	Tudor-like domain present in plant sequences.
SM00791	
SM00792	Agouti protein
SM00793	Accessory gene regulator B
SM00794	Staphylococcal AgrD protein
SM00795	Agrobacterium VirD5 protein
SM00805	Angiotensin II, type I receptor-associated protein
SM01000	Activator of Hsp90 ATPase, N-terminal
SM00796	Allophanate hydrolase subunit 1
SM00797	Allophanate hydrolase subunit 2
SM00798	AICARFT/IMPCHase bienzyme
SM01353	Apoptosis-inducing factor, mitochondrion-associated, C-term
SM00806	Actin interacting protein 3
SM01001	AIR carboxylase
SM00807	A-kinase anchor protein 110 kDa
SM01004	Delta-aminolevulinic acid dehydratase
SM01002	Alanine dehydrogenase/PNT, C-terminal domain
SM01003	Alanine dehydrogenase/PNT, N-terminal domain
SM01005	Alanine racemase, C-terminal domain
SM00103	serum albumin
SM01006	Siderophore biosynthesis protein domain
SM01007	Class II Aldolase and Adducin N-terminal domain
SM01008	Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain
SM01009	AlkA N-terminal domain
SM00098	Alkaline phosphatase homologues
SM00809	Adaptin C-terminal domain
SM00810	Alpha-amylase C-terminal beta-sheet domain
SM00811	Alpha-kinase family
SM00813	Alpha-L-arabinofuranosidase C-terminus
SM00812	Alpha-L-fucosidase
SM00872	Alpha mannosidase, middle domain
SM00814	Alpha trans-inducing protein (Alpha-TIF)
SM00815	Apical membrane antigen 1
SM00656	
SM00816	Amb V Allergen
SM00817	Ameloblastin precursor (Amelin)
SM00818	
SM00644	
SM00646	
SM00723	Adhesion-associated domain present in MUC4 and other proteins
SM01010	5'-AMP-activated protein kinase beta subunit, interation domain
SM01011	Aminopeptidase P, N-terminal domain
SM00104	Anaphylatoxin homologous domain
SM00248	ankyrin repeats
SM01012	
SM01357	Plant antimicrobial peptide
SM00335	Annexin repeats
SM00380	DNA-binding domain in plant proteins such as APETALA2 and EREBPs
SM00518	AP endonuclease family 2
SM01355	Clathrin-adaptor complex-3 beta-1 subunit C-terminal
SM01356	Adaptin AP4 complex epsilon appendage platform
SM01337	Anaphase-promoting complex, subunit 10 (APC10)
SM01013	Anaphase promoting complex (APC) subunit 2
SM01352	Adenomatosis polyposis coli down-regulated 1
SM00223	APPLE domain
SM00871	Bacterial transcription activator, effector binding domain
SM00177	ARF-like small GTPases; ARF, ADP-ribosylation factor
SM01015	Arfaptin-like domain
SM00105	Putative GTP-ase activating proteins for the small GTPase, ARF
SM01016	Arginyl tRNA synthetase N terminal dom
SM01014	ARID/BRIGHT DNA binding domain
SM00185	Armadillo/beta-catenin-like repeats
SM01017	Arrestin (or S-antigen), C-terminal domain
SM01022	
SM00870	
SM01351	Lysine-specific metallo-endopeptidase
SM00384	DNA binding domain with preference for A/T rich regions
SM00869	Autotransporter beta-domain
SM00570	associated with SET domains
SM00536	domain in Ataxins and HMG containing proteins
SM01018	B12 binding domain
SM01020	Beta2-adaptin appendage, C-terminal sub-domain
SM01019	B3 DNA binding domain
SM00873	B3/4 domain
SM00295	Band 4.1 homologues
SM00874	tRNA synthetase B5 domain
SM00665	Cytochrome b-561 / ferric reductase transmembrane domain.
SM00760	Bacterial dnaA protein helix-turn-helix domain
SM00875	BTB And C-terminal Kelch
SM01021	Bacteriorhodopsin-like protein
SM01023	Barrier to autointegration factor
SM00264	BAG domains, present in regulator of Hsp70 proteins
SM00439	Bromo adjacent homology domain
SM00721	
SM00520	Basic domain in HLH proteins of MYOD family
SM00876	Biotin and Thiamin Synthesis associated domain
SM00502	B-Box C-terminal domain
SM00336	B-Box-type zinc finger
SM01396	Bladder cancer-related protein BC10
SM00337	BCL (B-Cell lymphoma); contains BH1, BH2 regions
SM01024	
SM01026	Beige/BEACH domain
SM01025	
SM01027	Beta-Casp domain
SM01029	Beta-galactosidase, domain 2
SM01028	D domain of beta-TrCP
SM01037	Pathogenesis-related protein Bet v I family
SM01038	Beta galactosidase small chain
SM00265	BH4 Bcl-2 homology region 4
SM01030	Rad4 beta-hairpin domain 1
SM01031	Rad4 beta-hairpin domain 2
SM01032	Rad4 beta-hairpin domain 3
SM00411	bacterial (prokaryotic) histone like domain
SM00634	Bacterial Ig-like domain (group 1)
SM00635	Bacterial Ig-like domain 2
SM01033	BING4CT (NUC141) domain
SM00878	Biotin carboxylase C-terminal domain
SM00238	Baculoviral inhibition of apoptosis protein repeat
SM00108	Bulb-type mannose-specific lectin
SM01034	Sensors of blue-light using FAD
